D,см/ L,м	3	3,5	4	4,5	5	5,5	6	6,5	7	7,5	8
10	0,026	0,031	0,037	0,044	0,051	0,058	0,065	0,075	0,082	0,09	0,1
11	0,032	0,037	0,045	0,053	0,062	0,07	0,08	0,09	0,098	0,108	0,12
12	0,038	0,046	0,053	0,063	0,073	0,083	0,093	0,103	0,114	0,125	0,138
13	0,045	0,053	0,062	0,074	0,085	0,097	0,108	0,12	0,132	0,144	0,158
14	0,052	0,061	0,073	0,084	0,097	0,11	0,123	0,135	0,15	0,164	0,179
15	0,06	0,071	0,084	0,097	0,11	0,125	0,139	0,153	0,169	0,182	0,199
16	0,069	0,082	0,095	0,11	0,124	0,14	0,155	0,172	0,189	0,2	0,22
17	0,077	0,092	0,107	0,124	0,14	0,157	0,174	0,191	0,209	0,225	0,25
18	0,086	0,103	0,12	0,138	0,156	0,175	0,194	0,21	0,23	0,25	0,28
19	0,097	0,115	0,134	0,154	0,173	0,193	0,212	0,235	0,255	0,275	0,305
20	0,107	0,126	0,147	0,17	0,19	0,21	0,23	0,26	0,28	0,3	0,33
21	0,119	0,14	0,163	0,185	0,21	0,23	0,255	0,285	0,31	0,335	0,365
22	0,13	0,154	0,178	0,2	0,23	0,25	0,28	0,31	0,34	0,37	0,4
23	0,144	0,169	0,194	0,22	0,25	0,275	0,305	0,335	0,37	0,4	0,435
24	0,157	0,184	0,21	0,24	0,27	0,3	0,33	0,36	0,4	0,43	0,47
25	0,171	0,197	0,23	0,26	0,295	0,325	0,36	0,395	0,43	0,465	0,505
26	0,185	0,21	0,25	0,28	0,32	0,35	0,39	0,43	0,46	0,5	0,54
27	0,203	0,23	0,27	0,305	0,345	0,38	0,42	0,46	0,495	0,54	0,585
28	0,22	0,25	0,29	0,33	0,37	0,41	0,45	0,49	0,53	0,58	0,63
29	0,235	0,27	0,31	0,355	0,395	0,44	0,485	0,525	0,57	0,62	0,675
30	0,25	0,29	0,33	0,38	0,42	0,47	0,52	0,56	0,61	0,66	0,72
31	0,265	0,31	0,355	0,405	0,45	0,5	0,555	0,6	0,655	0,71	0,77
32	0,28	0,33	0,38	0,43	0,48	0,53	0,59	0,64	0,7	0,76	0,82
33	0,3	0,35	0,405	0,46	0,51	0,565	0,625	0,68	0,74	0,805	0,87
34	0,32	0,37	0,43	0,49	0,54	0,6	0,66	0,72	0,78	0,85	0,92
35	0,34	0,395	0,455	0,515	0,57	0,635	0,7	0,76	0,83	0,9	0,97
36	0,36	0,42	0,48	0,54	0,6	0,67	0,74	0,8	0,88	0,95	1,02
37	0,375	0,44	0,505	0,57	0,635	0,705	0,78	0,85	0,925	1	1,075
38	0,39	0,46	0,53	0,6	0,67	0,74	0,82	0,9	0,97	1,05	1,13
